rule_name,category,pattern,match_type,confidence,counterparty,source
Tatts Online (2),Gambling,TATTS ONLINE,keyword,0.95,Tatts Online (2),institution
Tatts Online,Gambling,TATTSONLINE|TATTSONLIN,keyword,0.95,Tatts Online,institution
VEGASTARS NICOSIA,Gambling,VEGASTARS NICOSIA|TCP VEGASTARS COM,keyword,0.95,VEGASTARS NICOSIA,institution
BET365 BERRIMAH,Gambling,BET365 BERRIMAH|BET 365 DARWIN|BET365 COM,keyword,0.95,BET365 BERRIMAH,institution
RSL Art Union,Gambling,RSL ART UNION,keyword,0.95,RSL Art Union,institution
Tewantin RSL Club,Gambling,RSL CLUB|TEWANTIN RSL CLUB,keyword,0.95,Tewantin RSL Club,institution
Dabble Sports,Gambling,DABBLE SPORTS|DABBLE,keyword,0.95,Dabble Sports,institution
LOTTERYWEST WITHDRAWAL PAYPAL LOTTERYWEST WITHDRAWAL,Gambling,LOTTERYWEST WITHDRAWAL PAYPAL LOTTERYWEST WITHDRAWAL|LOTTERYWEST COMMBANK APP BPAY|LOTTERYWEST NETBANK BPAY|POS PAYPAL LOTTERYWEST|PAYPAL LOTTERYWEST|OZ LOTTERYWEST COM VI|PENDING LOTTERYWEST|PENDING LOTTERYWEST SUBIACO AU POS HOLD|PURCHASE OZ LOTTERYWEST COM|OZ LOTTERYWEST COM,keyword,0.95,LOTTERYWEST WITHDRAWAL PAYPAL LOTTERYWEST WITHDRAWAL,institution
SkyCity Adelaide Casino,Gambling,SKYCITY ADELAIDE CASINO,keyword,0.95,SkyCity Adelaide Casino,institution
Midland Gate Lottery,Gambling,MIDLAND GATE LOTTERY|MIDLAND GATE LOTTERY K|MIDLAND GATE LOTTERY KIOS,keyword,0.95,Midland Gate Lottery,institution
Lucky Dreams,Gambling,LUCKYDREAMS COM|LUCKY DREAMS,keyword,0.95,Lucky Dreams,institution
Cashman Slots,Gambling,CASHMAN SLOTS,keyword,0.95,Cashman Slots,institution
The Lottery Office,Gambling,THE LOTTERY OFFICE|THE LOTTERY OFFICE WINNELLIE|THE LOTTERY,keyword,0.95,The Lottery Office,institution
Gold Coast Turf Club,Gambling,GOLD COAST TURF CLUB|GOLD COAST TURF CLUB BUNDALL|GOLD COAST TURF|GOLD COAST TURF CLUB BUNDALL QL|GOLD COAST TURF CLUB L|GOLD COAST TURF CLUB L BUNDALL|GOLD COAST TURF CLUB LBUNDALL,keyword,0.95,Gold Coast Turf Club,institution
Bathurst RSL Club,Gambling,BATHURST R S L CLUB LT|BATHURST RSL CLUB,keyword,0.95,Bathurst RSL Club,institution
Reef Hotel Casino,Gambling,REEF HOTEL CASINO,keyword,0.95,Reef Hotel Casino,institution
Cronulla RSL,Gambling,CRONULLA R S L MEMOR|CRONULLA RSL,keyword,0.95,Cronulla RSL,institution
Brisbane Racing Club,Gambling,BRISBANE RACING CLUB|BRISBANE RACING CLUB ACACIA RIDG|BRISBANE RACING CLUB ACACIA RIDGE|BRISBANE RACING CLUB ACACIA RIDGE QL|BRISBANE RACING CLUB ASCOT|BRISBANE RACING CLUB ASCOT QL|BRISBANE RACING CLUB ASCOT VI,keyword,0.95,Brisbane Racing Club,institution
Mater Lotteries,Gambling,MATER LOTTERIES|MATER LOTTERIES BRISBANE QL,keyword,0.95,Mater Lotteries,institution
Big Cash Legends,Gambling,BIG CASH LEGENDS,keyword,0.95,Big Cash Legends,institution
Waverley RSL,Gambling,WAVERLEY RSL,keyword,0.95,Waverley RSL,institution
Epsom Lotto & Gifts,Gambling,EPSOM LOTTO GIFTS|EPSOM LOTTO GIFTS EPSOM VI,keyword,0.95,Epsom Lotto & Gifts,institution
Score55 Tech B.V.,Gambling,SCORE55 TECH B V,keyword,0.95,Score55 Tech B.V.,institution
SLOTOMANIA COM,Gambling,SLOTOMANIA COM,keyword,0.95,SLOTOMANIA COM,institution
Ipswich RSL Services Club,Gambling,IPSWICH RSL SERVICES|IPSWICH RSL SERVICES CLUB,keyword,0.95,Ipswich RSL Services Club,institution
Tatts & Smoke Centre,Gambling,TATTS SMOKE CENTRE,keyword,0.95,Tatts & Smoke Centre,institution
Carrum Downs Lotto,Gambling,CARRUM DOWNS LOTTO|CARRUM DOWNS LOTTO CARRUM DOWNS|CARRUM DOWNS LOTTO CARRUM DOWNS VI,keyword,0.95,Carrum Downs Lotto,institution
Pakenham Family Lotto,Gambling,PAKENHAM FAMILY LOTTO|PAKENHAM FAMILY LOTTO PAKENHAM VI,keyword,0.95,Pakenham Family Lotto,institution
Darwin Turf Club,Gambling,DARWIN TURF CLUB INC|DARWIN TURF CLUB|DARWIN TURF CLUB FANNIE BAY|DARWIN TURF|DARWIN TURF CLUB INC FANNIE BAY,keyword,0.95,Darwin Turf Club,institution
DIRECT CREDIT KENO QLD P L KENO QLD CSV,Gambling,DIRECT CREDIT KENO|DIRECT CREDIT KENO NSW PTY LTD|DIRECT CREDIT KENO VIC PTY LTD|DIRECT CREDIT KENO QLD P L KENO|DIRECT CREDIT KENO QLD P L KENO QLD CSV|TRANSFER FROM KENO|TRANSFER FROM KENO VIC PTY LTD,keyword,0.95,DIRECT CREDIT KENO QLD P L KENO QLD CSV,institution
Solitaire Cash,Gambling,SOLITAIRE CASH|SOLITAIRE CAS|SOLITAIRE CAS US FCY AMOUNT USD CCY CONV FEE 20|SOLITAIRE CAS US FCY AMOUNT USD CCY CONV FEE 71|SOLITAIRE CAS US FCY AMOUNT USD CCY CONV FEE 21|SOLITAIRE CASH USD AUD|SOLITAIRE CASH NY US|SOLITAIRE CASH USD|SOLITAIRE CASH OF|SOLITAIRE CASH DOVER DE USA|SOLITAIRE CASH DOVER DE USA GBP|SOLITAIRE CASH MO|SOLITAIRE CASH MO US DOLLAR|SOLITAIRE CASH MO USA USD|SOLITAIRE CASH MO USA|SOLITAIRE CASH NEW YORK|SOLITAIRE CASH NEW YORK NY|SOLITAIRE CASH NEW YORK NY 50 US DOLLAR|SOLITAIRE CASH NEW YORK NY US DOLLAR|SOLITAIRE CASH NEW YORK NY USA USD|SOLITAIRE CASH NEW YORK NY USA|SOLITAIRE CASH NEW YORK USA FRGN AMT|SOLITAIRE CASH NEW YORK USA FRGN AMT U S DOLLAR|SOLITAIRE CASH NY|SOLITAIRE CASH NY US DOLLAR|SOLITAIRE CASH NY US USD|SOLITAIRE CASH NY USA USD|SOLITAIRE CASH NY USA|SOLITAIRE CASH USA FRGN AMT|SOLITAIRE CASH USA FRGN AMT U S DOLLAR,keyword,0.95,Solitaire Cash,institution
GRAFTON DISTRICT ANGLERS CLUB,Gambling,GRAFTON DISTRICT ANGLERS CLUB|GRAFTON DISTRICT ANGLERS CLUB LIMITED,keyword,0.95,GRAFTON DISTRICT ANGLERS CLUB,institution
TWEED RIVER JOCKEY CLUB LTD,Gambling,TWEED RIVER JOCKEY CLUB LTD,keyword,0.95,TWEED RIVER JOCKEY CLUB LTD,institution
LADBROKE PTY. LIMITED,Gambling,LADBROKE PTY LIMITED|LADBROKE PTY LTD,keyword,0.95,LADBROKE PTY. LIMITED,institution
888 SERVICES PTY LIMITED,Gambling,888 SERVICES PTY LIMITED,keyword,0.95,888 SERVICES PTY LIMITED,institution
DYNAMICODDS PTY LTD,Gambling,DYNAMICODDS PTY LTD,keyword,0.95,DYNAMICODDS PTY LTD,institution
BINGO PROSPECT PTY LTD,Gambling,BINGO PROSPECT PTY LTD|BINGO 21,keyword,0.95,BINGO PROSPECT PTY LTD,institution
KEVIN MOSES RACING STABLES PTY LTD,Gambling,KEVIN MOSES RACING STABLES PTY LTD,keyword,0.95,KEVIN MOSES RACING STABLES PTY LTD,institution
Kennedy Thoroughbreds Pty Ltd,Gambling,KENNEDY THOROUGHBREDS PTY LTD,keyword,0.95,Kennedy Thoroughbreds Pty Ltd,institution
Inland Gaming Solutions Pty Ltd,Gambling,INLAND GAMING SOLUTIONS PTY LTD|INLAND GAMING SOLUTIONS,keyword,0.95,Inland Gaming Solutions Pty Ltd,institution
ATLAS GAMING PTY LTD,Gambling,ATLAS GAMING PTY LTD,keyword,0.95,ATLAS GAMING PTY LTD,institution
HIGHCLERE THOROUGHBRED RACING (AUSTRALIA) LTD,Gambling,HIGHCLERE THOROUGHBRED RACING AUSTRALIA LTD,keyword,0.95,HIGHCLERE THOROUGHBRED RACING (AUSTRALIA) LTD,institution
PLACE RACECOURSE PTY LTD,Gambling,PLACE RACECOURSE PTY LTD,keyword,0.95,PLACE RACECOURSE PTY LTD,institution
MEGA FORTUNE PTY LTD,Gambling,MEGA FORTUNE PTY LTD,keyword,0.95,MEGA FORTUNE PTY LTD,institution
REAL BOOKIE PTY LTD,Gambling,REAL BOOKIE PTY LTD,keyword,0.95,REAL BOOKIE PTY LTD,institution
DERBY CAULFIELD PTY LTD,Gambling,DERBY CAULFIELD PTY LTD,keyword,0.95,DERBY CAULFIELD PTY LTD,institution
ALL WIN QLD PTY LTD,Gambling,ALL WIN QLD PTY LTD,keyword,0.95,ALL WIN QLD PTY LTD,institution
OPTIMISE GAMING PTY LTD,Gambling,OPTIMISE GAMING PTY LTD,keyword,0.95,OPTIMISE GAMING PTY LTD,institution
BET BROKERS PTY LTD,Gambling,BET BROKERS PTY LTD,keyword,0.95,BET BROKERS PTY LTD,institution
ROACORE GAMING PTY LTD,Gambling,ROACORE GAMING PTY LTD,keyword,0.95,ROACORE GAMING PTY LTD,institution
BINGO SHARK PTY LTD,Gambling,BINGO SHARK PTY LTD,keyword,0.95,BINGO SHARK PTY LTD,institution
SMITH JOINERY (CASINO) PTY LTD,Gambling,SMITH JOINERY CASINO PTY LTD|SMITH S JOINERY,keyword,0.95,SMITH JOINERY (CASINO) PTY LTD,institution
CROWN SYDNEY PROPERTY PTY LTD,Gambling,CROWN SYDNEY PROPERTY PTY LTD|CROWN RESIDENCES SYDNEY|CROWN SPA SYDNEY|CROWN SYDNEY RESORT|CROWN TOWERS SYDNEY|IL CAFFE AT CROWN|ONE BARANGAROO CROWN RESIDENCES SYDNEY|TEAHOUSE AT CROWN,keyword,0.95,CROWN SYDNEY PROPERTY PTY LTD,institution
LUCKY MALVERN LOTTO PTY LTD,Gambling,LUCKY MALVERN LOTTO PTY LTD,keyword,0.95,LUCKY MALVERN LOTTO PTY LTD,institution
"MEDIA, VISION AND WAGERING PTY LTD",Gambling,MEDIA VISION AND WAGERING PTY LTD,keyword,0.95,"MEDIA, VISION AND WAGERING PTY LTD",institution
CASINO TOBACCONIST PTY LTD,Gambling,CASINO TOBACCONIST PTY LTD,keyword,0.95,CASINO TOBACCONIST PTY LTD,institution
CAREEBA PARK PTY LTD,Gambling,CAREEBA PARK PTY LTD|CAREEBA PARK NEWS LOTTO,keyword,0.95,CAREEBA PARK PTY LTD,institution
WAGER'S CARPENTRY PTY LTD,Gambling,WAGER S CARPENTRY PTY LTD,keyword,0.95,WAGER'S CARPENTRY PTY LTD,institution
SLH GLOBAL PTY LTD,Gambling,SLH GLOBAL PTY LTD,keyword,0.95,SLH GLOBAL PTY LTD,institution
HOBART TOBACCO & LOTTO PTY LTD,Gambling,HOBART TOBACCO LOTTO PTY LTD,keyword,0.95,HOBART TOBACCO & LOTTO PTY LTD,institution
V & S LOTTO PTY LTD,Gambling,V S LOTTO PTY LTD,keyword,0.95,V & S LOTTO PTY LTD,institution
BATHURST HARNESS RACING CLUB LTD,Gambling,BATHURST HARNESS RACING CLUB LTD|BATHURST GOLD CROWN,keyword,0.95,BATHURST HARNESS RACING CLUB LTD,institution
Hurford Sawmilling - Casino Pty Ltd,Gambling,HURFORD SAWMILLING CASINO PTY LTD,keyword,0.95,Hurford Sawmilling - Casino Pty Ltd,institution
TSG AUSTRALIA WAGERING PTY LIMITED,Gambling,TSG AUSTRALIA WAGERING PTY LIMITED,keyword,0.95,TSG AUSTRALIA WAGERING PTY LIMITED,institution
BINGO HOLDINGS PTY LTD,Gambling,BINGO HOLDINGS PTY LTD,keyword,0.95,BINGO HOLDINGS PTY LTD,institution
TOFU BETTING PTY LTD,Gambling,TOFU BETTING PTY LTD,keyword,0.95,TOFU BETTING PTY LTD,institution
TAB TERMINAL PTY LTD,Gambling,TAB TERMINAL PTY LTD,keyword,0.95,TAB TERMINAL PTY LTD,institution
